scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Abagrotis,2,2,1,5.589933663245206e-05,7.829793345077968e-07,0.0,Insecta,Unknown,0
Abegesta remellalis,5,3,4,0.009859146608733044,0.0053951133749135715,0.6,Insecta,White-trimmed Abegesta,0
Abortiporus,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Abortiporus biennis,3,3,3,0.00666609111536156,0.015189442212879507,0.3333333333333333,Fungi,Blushing Rosette,0
Abutilon,1,1,1,0.0,0.0,0.0,Plantae,Indian mallows,0
Abutilon palmeri,4,4,4,0.03474380035780166,0.031044512777031717,0.75,Plantae,Palmer's Indian mallow,1
Abutilon theophrasti,1,1,1,0.0,0.0,1.0,Plantae,velvetleaf,0
Acacia,17,15,17,0.018014236900076707,0.00906149143845295,0.058823529411764705,Plantae,wattles,1
Acacia baileyana,4,4,4,0.07665755516208776,0.021790103920484662,1.0,Plantae,Cootamundra wattle,1
Acacia cultriformis,3,3,3,0.014010592315456396,0.027766068506144007,1.0,Plantae,Knife-leaf Wattle,0
Acacia cyclops,4,3,4,0.01605197967331889,0.032309817027496066,0.5,Plantae,western coastal wattle,1
Acacia dealbata,1,1,1,0.0,0.0,0.0,Plantae,Silver wattle,0
Acacia longifolia,6,6,6,0.027620861002580828,0.024413188411655348,0.5,Plantae,Longleaf Wattle,1
Acacia melanoxylon,1,1,1,0.0,0.0,0.0,Plantae,blackwood,0
Acacia podalyriifolia,1,1,1,0.0,0.0,0.0,Plantae,Queensland silver wattle,0
Acacia pycnantha,1,1,1,0.0,0.0,1.0,Plantae,Golden Wattle,0
Acacia redolens,37,29,36,0.015938838612501206,0.02142792880198056,0.8918918918918919,Plantae,vanilla-scented wattle,0
Acacia retinodes,8,8,8,0.023934275441538557,0.009556265448280464,0.125,Plantae,Silver Wattle,0
Acacia saligna,10,10,10,0.008091455976217223,0.010494333987319924,0.5,Plantae,golden wreath wattle,1
Acalymma trivittatum,3,3,3,0.006563418846517926,0.028789018879359054,1.0,Insecta,Western Striped Cucumber Beetle,0
Acalypha californica,6,6,6,0.002313579120037838,0.011127676411171036,1.0,Plantae,California Copperleaf,0
Acalyptratae,11,8,10,0.01612788661363831,0.016312333350081705,0.0,Insecta,Acalyptrate Flies,0
Acanalonia,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Acanthoscelides,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Acanthoscelides obtectus,1,1,1,0.0,0.0,0.0,Insecta,Bean Weevil,0
Acanthoscelidina,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Acari,19,16,18,0.00983418286594389,0.016649558727312695,0.0,Arachnida,Mites and Ticks,0
Acariformes,3,3,3,0.010351992734668499,0.017528750341659984,0.0,Arachnida,Unknown,0
Acarospora,21,16,20,0.014282639122148394,0.01842050165615164,0.0,Fungi,cobblestone lichens,1
Acarospora badiofusca,1,1,1,0.0,0.0,1.0,Fungi,Unknown,0
Acarospora chrysops,1,1,1,0.0,0.0,1.0,Fungi,Unknown,0
Acarospora fuscata,1,1,1,0.0,0.0,0.0,Fungi,brown cobblestone lichen,0
Acarospora nicolai,1,1,1,0.0,0.0,1.0,Fungi,Unknown,0
Acarospora obnubila,3,2,3,0.008628686601206897,0.021404862253898295,0.0,Fungi,Unknown,0
Acarospora schleicheri,8,5,8,0.013447361034468764,0.019317272281561843,0.75,Fungi,Soil Paint Lichen,0
Acarospora socialis,103,56,93,0.015099729852260966,0.016443578403369845,0.46601941747572817,Fungi,Yellow Cobblestone Lichen,0
Acarospora strigata,1,1,1,0.0,0.0,0.0,Fungi,hoary cobblestone lichen,1
Acarosporaceae,5,2,5,0.012469481469501702,0.014486609291059226,0.0,Fungi,cobblestone lichen family,0
Acarosporales,2,2,2,0.005585750702850816,0.003802663079387349,0.0,Fungi,"cobblestone lichens, eiglera lichens, and allies",0
Accipiter striatus,21,14,20,0.009312207196696941,0.020384279546397464,1.0,Aves,Sharp-shinned Hawk,0
Accipitridae,7,7,7,0.019734056965637264,0.0107318503621331,0.0,Aves,"Hawks, Eagles, and Kites",0
Accipitriformes,3,3,3,0.012397243575881242,0.0021595519949185317,0.0,Aves,"Hawks, Eagles, Kites, and Allies",0
Accipitrinae,8,8,8,0.028030524558423715,0.010506928059262566,0.25,Aves,Typical Hawks and Harriers,0
Acer,1,1,1,0.0,0.0,0.0,Plantae,maples,0
Acer negundo,100,64,89,0.001415159603215934,0.0070540289283471305,0.96,Plantae,box elder,0
Acer palmatum,1,1,1,0.0,0.0,1.0,Plantae,Japanese maple,0
