scientific_name,common_name,iconic_taxon_name,present_in_main,main_obs_count,backup_obs_count,log_obs_count,backup_unique_users,backup_unique_days,avg_elevation,avg_slope,avg_ndvi,avg_soil_sand,avg_soil_ph,avg_soil_clay
Abagrotis,Unknown,Insecta,0,0.0,2,1.0986122886681098,2,1,98.5,5.141155958175659,0.14785818010568616,41.0,73.0,26.0
Abegesta remellalis,White-trimmed Abegesta,Insecta,0,0.0,5,1.791759469228055,3,4,115.6,5.669548416137696,0.1339703634381294,44.2,73.6,25.6
Abortiporus,Unknown,Fungi,0,0.0,1,0.6931471805599453,1,1,167.0,3.864642143249512,0.163186490535736,41.0,75.0,32.0
Abortiporus biennis,Blushing Rosette,Fungi,0,0.0,3,1.3862943611198906,3,3,97.33333333333333,8.139190514882406,0.2059827496608098,47.333333333333336,72.66666666666667,26.0
Abutilon,Indian mallows,Plantae,0,0.0,1,0.6931471805599453,1,1,174.0,9.447402000427246,0.1307095140218734,46.0,74.0,26.0
Abutilon palmeri,Palmer's Indian mallow,Plantae,1,1.0,4,1.6094379124341003,4,4,165.25,8.393554449081421,0.14192210696637625,43.75,74.0,27.75
Abutilon theophrasti,velvetleaf,Plantae,0,0.0,1,0.6931471805599453,1,1,165.0,7.787235260009766,0.0385605543851852,41.0,75.0,32.0
Acacia,wattles,Plantae,1,5.0,17,2.8903717578961645,15,17,173.1764705882353,6.984929898205926,0.14982430505401942,46.529411764705884,73.82352941176471,27.705882352941178
Acacia baileyana,Cootamundra wattle,Plantae,1,1.0,4,1.6094379124341003,4,4,190.75,4.642014265060425,0.12402460724115368,31.0,55.25,22.25
Acacia cultriformis,Knife-leaf Wattle,Plantae,0,0.0,3,1.3862943611198906,3,3,146.0,3.628505984942118,0.1354645652075608,45.666666666666664,74.66666666666667,26.333333333333332
Acacia cyclops,western coastal wattle,Plantae,1,1.0,4,1.6094379124341003,3,4,204.0,10.07174038887024,0.12082475237548347,45.0,73.5,26.5
Acacia dealbata,Silver wattle,Plantae,0,0.0,1,0.6931471805599453,1,1,170.0,10.66636562347412,0.1198219954967498,43.0,74.0,30.0
Acacia longifolia,Longleaf Wattle,Plantae,1,2.0,6,1.9459101490553132,6,6,147.5,7.861499468485515,0.15134703492124874,43.833333333333336,74.5,27.833333333333332
Acacia melanoxylon,blackwood,Plantae,0,0.0,1,0.6931471805599453,1,1,278.0,8.28909969329834,0.1457470208406448,53.0,72.0,25.0
Acacia podalyriifolia,Queensland silver wattle,Plantae,0,0.0,1,0.6931471805599453,1,1,114.0,3.8648085594177246,0.2160618901252746,53.0,73.0,20.0
Acacia pycnantha,Golden Wattle,Plantae,0,0.0,1,0.6931471805599453,1,1,108.0,19.45943832397461,0.1954358518123626,44.0,76.0,29.0
Acacia redolens,vanilla-scented wattle,Plantae,0,0.0,37,3.6375861597263857,29,36,199.2972972972973,8.283147107910466,0.15453335675536778,44.486486486486484,74.21621621621621,27.756756756756758
Acacia retinodes,Silver Wattle,Plantae,0,0.0,8,2.1972245773362196,8,8,207.375,7.108960330486298,0.15277577098459003,48.5,73.375,26.875
Acacia saligna,golden wreath wattle,Plantae,1,2.0,10,2.3978952727983707,10,10,243.7,9.561217117309571,0.13376181870698928,50.9,72.5,25.7
Acalymma trivittatum,Western Striped Cucumber Beetle,Insecta,0,0.0,3,1.3862943611198906,3,3,166.33333333333334,5.173608144124349,0.12017723917961116,45.0,75.0,28.666666666666668
Acalypha californica,California Copperleaf,Plantae,0,0.0,6,1.9459101490553132,6,6,333.5,14.213459650675455,0.16544696440299347,47.833333333333336,70.0,25.5
Acalyptratae,Acalyptrate Flies,Insecta,0,0.0,11,2.4849066497880004,8,10,125.0909090909091,8.621312856674194,0.12626292586157264,39.09090909090909,66.45454545454545,24.818181818181817
Acanalonia,Unknown,Insecta,0,0.0,1,0.6931471805599453,1,1,91.0,17.244813919067383,0.2125083804130554,51.0,69.0,20.0
Acanthoscelides,Unknown,Insecta,0,0.0,1,0.6931471805599453,1,1,107.0,5.6549601554870605,0.1301247477531433,45.0,73.0,27.0
Acanthoscelides obtectus,Bean Weevil,Insecta,0,0.0,1,0.6931471805599453,1,1,234.0,7.680442810058594,0.1252662986516952,45.0,73.0,26.0
Acanthoscelidina,Unknown,Insecta,0,0.0,1,0.6931471805599453,1,1,223.0,11.998583793640137,0.154081329703331,47.0,73.0,26.0
Acari,Mites and Ticks,Arachnida,0,0.0,19,2.995732273553991,16,18,172.78947368421052,9.83444387034366,0.14297847292925178,46.36842105263158,72.3157894736842,25.57894736842105
Acariformes,Unknown,Arachnida,0,0.0,3,1.3862943611198906,3,3,145.66666666666666,4.311216374238332,0.14025790989398954,41.666666666666664,74.33333333333333,28.333333333333332
Acarospora,cobblestone lichens,Fungi,1,1.0,21,3.091042453358316,16,20,170.71428571428572,15.226328804379417,0.13338380377917058,47.857142857142854,70.9047619047619,25.047619047619047
Acarospora badiofusca,Unknown,Fungi,0,0.0,1,0.6931471805599453,1,1,122.0,15.42236042022705,0.1594275534152984,42.0,71.0,29.0
Acarospora chrysops,Unknown,Fungi,0,0.0,1,0.6931471805599453,1,1,97.0,8.809990882873535,0.1295382380485534,40.0,71.0,30.0
Acarospora fuscata,brown cobblestone lichen,Fungi,0,0.0,1,0.6931471805599453,1,1,133.0,16.705507278442383,0.1317608058452606,42.0,72.0,26.0
Acarospora nicolai,Unknown,Fungi,0,0.0,1,0.6931471805599453,1,1,96.0,3.3073325157165527,0.1611195802688598,39.0,73.0,28.0
Acarospora obnubila,Unknown,Fungi,0,0.0,3,1.3862943611198906,2,3,159.66666666666666,7.0924380620320635,0.13428089270989096,48.666666666666664,72.0,23.0
Acarospora schleicheri,Soil Paint Lichen,Fungi,0,0.0,8,2.1972245773362196,5,8,209.625,9.407151848077774,0.12937486637383697,45.125,72.75,27.25
Acarospora socialis,Yellow Cobblestone Lichen,Fungi,0,0.0,103,4.6443908991413725,56,93,178.1359223300971,10.888655476778457,0.14333082200254046,47.50485436893204,71.12621359223301,25.320388349514563
Acarospora strigata,hoary cobblestone lichen,Fungi,1,1.0,1,0.6931471805599453,1,1,93.0,8.508894920349121,0.1485746055841446,45.0,73.0,28.0
Acarosporaceae,cobblestone lichen family,Fungi,0,0.0,5,1.791759469228055,2,5,136.0,9.316913270950318,0.1743913114070892,49.4,70.8,25.4
Acarosporales,"cobblestone lichens, eiglera lichens, and allies",Fungi,0,0.0,2,1.0986122886681098,2,2,88.0,14.115530848503115,0.18119972199201578,46.5,69.0,22.5
Accipiter striatus,Sharp-shinned Hawk,Aves,0,0.0,21,3.091042453358316,14,20,136.0952380952381,8.988308083443414,0.14748411448228924,46.285714285714285,72.42857142857143,25.904761904761905
Accipitridae,"Hawks, Eagles, and Kites",Aves,0,0.0,7,2.0794415416798357,7,7,116.85714285714286,5.276913923876626,0.16590689122676847,42.857142857142854,73.28571428571429,27.285714285714285
Accipitriformes,"Hawks, Eagles, Kites, and Allies",Aves,0,0.0,3,1.3862943611198906,3,3,254.0,13.798780759175619,0.10970180978377653,46.333333333333336,74.33333333333333,28.333333333333332
Accipitrinae,Typical Hawks and Harriers,Aves,0,0.0,8,2.1972245773362196,8,8,155.0,9.567302331328392,0.1595770115964114,43.875,72.625,28.0
Acer,maples,Plantae,0,0.0,1,0.6931471805599453,1,1,89.0,2.9907350540161133,0.2378417700529098,43.0,72.0,23.0
Acer negundo,box elder,Plantae,0,0.0,100,4.61512051684126,64,89,90.46,2.9238006538152694,0.22238844282925124,41.61,72.3,25.73
