scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Accipitridae,1,1,1,0.0,0.0,0.0,Aves,"Hawks, Eagles, and Kites",0
Acer saccharinum,1,1,1,0.0,0.0,0.0,Plantae,silver maple,0
Aceria boycei,1,1,1,0.0,0.0,1.0,Arachnida,Ragweed Gall Mite,0
Aceria paracalifornica,1,1,1,0.0,0.0,0.0,Arachnida,California Sagebrush Gall Mite,0
Achradocera,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Achyrachaena mollis,1,1,1,0.0,0.0,0.0,Plantae,Blow Wives,0
Acmispon,3,3,3,0.0023967488515927783,0.001114521533547704,0.0,Plantae,deervetch,0
Acmispon americanus,5,3,5,0.0003249204046598381,0.000282873873600243,1.0,Plantae,Spanish clover,0
Acmispon americanus americanus,1,1,1,0.0,0.0,1.0,Plantae,Spanish clover,0
Acmispon glaber,13,12,12,0.0013931674285128618,0.0014850725515138876,0.8461538461538461,Plantae,deerweed,1
Acmispon glaber brevialatus,3,2,3,0.0025951707768867866,0.0008510885868039067,1.0,Plantae,short-winged deerweed,0
Acmispon glaber glaber,11,6,11,0.0017095564154567145,0.0012410790064522133,1.0,Plantae,Coastal Deerweed,1
Acmispon strigosus,1,1,1,0.0,0.0,0.0,Plantae,strigose lotus,0
Acridoidea,1,1,1,0.0,0.0,0.0,Insecta,Short-horned Grasshoppers and Locusts,0
Aculus tetanothrix,3,3,3,0.0004643036981758512,5.8315550847176575e-05,0.3333333333333333,Arachnida,Willow Bead Gall Mite,0
Adelpha californica,8,8,8,0.001058682425746727,0.0015782443263247352,1.0,Insecta,California Sister,1
Adenostoma fasciculatum,29,21,22,0.0022121930843940116,0.0016997775072471425,0.9655172413793104,Plantae,chamise,1
Adolphia californica,1,1,1,0.0,0.0,1.0,Plantae,California adolphia,0
Agapostemon,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Agaricaceae,1,1,1,0.0,0.0,0.0,Fungi,Field Mushrooms and Allies,0
Agaricales,17,10,8,0.0018979923972945426,0.0021521568884604156,0.0,Fungi,Common Gilled Mushrooms and Allies,1
Agaricomycetes,12,10,10,0.0018299894525778283,0.0016477792903185462,0.0,Fungi,"Mushrooms, Bracket Fungi, Puffballs, and Allies",1
