scientific_name,common_name,iconic_taxon_name,present_in_main,main_obs_count,backup_obs_count,log_obs_count,backup_unique_users,backup_unique_days,avg_elevation,avg_slope,avg_ndvi,avg_soil_sand,avg_soil_ph,avg_soil_clay
Accipitridae,"Hawks, Eagles, and Kites",Aves,0,0.0,1,0.6931471805599453,1,1,105.0,3.446496963500977,0.1380361467599868,54.0,72.0,21.0
Acer saccharinum,silver maple,Plantae,0,0.0,1,0.6931471805599453,1,1,138.0,7.07758903503418,0.1502064019441604,56.0,71.0,20.0
Aceria boycei,Ragweed Gall Mite,Arachnida,0,0.0,1,0.6931471805599453,1,1,102.0,2.992177724838257,0.1908106505870819,55.0,70.0,21.0
Aceria paracalifornica,California Sagebrush Gall Mite,Arachnida,0,0.0,1,0.6931471805599453,1,1,112.0,9.209413528442385,0.2407880127429962,54.0,71.0,21.0
Achradocera,Unknown,Insecta,0,0.0,1,0.6931471805599453,1,1,102.0,1.444566011428833,0.1677400469779968,54.0,71.0,21.0
Achyrachaena mollis,Blow Wives,Plantae,0,0.0,1,0.6931471805599453,1,1,105.0,4.968410968780518,0.1988129466772079,55.0,70.0,21.0
Acmispon,deervetch,Plantae,0,0.0,3,1.3862943611198906,3,3,113.66666666666667,8.317053119341532,0.17729081213474265,54.0,70.0,21.0
Acmispon americanus,Spanish clover,Plantae,0,0.0,5,1.791759469228055,3,5,100.0,4.505637550354004,0.14841220676898953,55.6,69.4,19.8
Acmispon americanus americanus,Spanish clover,Plantae,0,0.0,1,0.6931471805599453,1,1,91.0,1.107679843902588,0.2020478397607803,56.0,69.0,19.0
Acmispon glaber,deerweed,Plantae,1,8.0,13,2.6390573296152584,12,12,112.53846153846153,6.206419211167556,0.16830074042081827,54.53846153846154,70.46153846153847,20.384615384615383
Acmispon glaber brevialatus,short-winged deerweed,Plantae,0,0.0,3,1.3862943611198906,2,3,128.0,5.468359629313151,0.18673525253931678,54.333333333333336,69.66666666666667,20.333333333333332
Acmispon glaber glaber,Coastal Deerweed,Plantae,1,2.0,11,2.4849066497880004,6,11,113.0,6.201282717964866,0.16902602870355948,54.90909090909091,70.36363636363636,20.0
Acmispon strigosus,strigose lotus,Plantae,0,0.0,1,0.6931471805599453,1,1,104.0,6.636947154998779,0.1800630241632461,55.0,70.0,21.0
Acridoidea,Short-horned Grasshoppers and Locusts,Insecta,0,0.0,1,0.6931471805599453,1,1,106.0,3.3198912143707275,0.1449794471263885,54.0,71.0,21.0
Aculus tetanothrix,Willow Bead Gall Mite,Arachnida,0,0.0,3,1.3862943611198906,3,3,107.0,5.129398504892985,0.21712891260782877,55.0,70.0,20.0
Adelpha californica,California Sister,Insecta,1,2.0,8,2.1972245773362196,8,8,105.75,3.850527338683605,0.220201039686799,54.875,69.625,19.875
Adenostoma fasciculatum,chamise,Plantae,1,25.0,29,3.4011973816621555,21,22,113.75862068965517,8.144547026732873,0.15230624146502592,54.89655172413793,70.51724137931035,20.17241379310345
Adolphia californica,California adolphia,Plantae,0,0.0,1,0.6931471805599453,1,1,110.0,1.4445579051971436,0.0998838916420936,56.0,72.0,19.0
Agapostemon,Unknown,Insecta,0,0.0,1,0.6931471805599453,1,1,110.0,10.351273536682127,0.1769911497831344,54.0,72.0,21.0
Agaricaceae,Field Mushrooms and Allies,Fungi,0,0.0,1,0.6931471805599453,1,1,93.0,5.521929264068604,0.2525904774665832,56.0,69.0,19.0
