scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Abagrotis kirkwoodi,2,2,1,1.22627165084731e-05,4.5800720301632884e-06,0.0,Insecta,Unknown,0
Abietinaria,2,2,1,1.0999470246128155e-05,5.853267300689991e-05,0.0,Animalia,Coarse Sea Fir Hydroids,0
Abronia,2,2,2,0.00620090149983191,0.0020881897745668168,0.0,Plantae,sand verbenas,1
Abronia maritima,198,116,164,0.009809982502408342,0.003707268369325905,0.9545454545454546,Plantae,red sand-verbena,1
Abutilon palmeri,3,3,3,9.430052471940016e-05,1.8001789320714488e-05,0.6666666666666666,Plantae,Palmer's Indian mallow,0
Acacia,1,1,1,0.0,0.0,0.0,Plantae,wattles,0
Acacia baileyana,3,3,3,0.0006671607692340069,0.00027372301708584253,1.0,Plantae,Cootamundra wattle,0
Acacia cyclops,3,3,3,0.01626281105127003,0.0119327352264993,0.6666666666666666,Plantae,western coastal wattle,0
Acacia redolens,1,1,1,0.0,0.0,0.0,Plantae,vanilla-scented wattle,0
Acacia saligna,1,1,1,0.0,0.0,0.0,Plantae,golden wreath wattle,0
Acalypha californica,13,11,9,0.0011128929738861942,0.001664727258582545,0.8461538461538461,Plantae,California Copperleaf,0
Acalyptratae,6,6,6,0.012802950021351409,0.011434806946205134,0.0,Insecta,Acalyptrate Flies,0
Acanthomorpha,2,2,2,0.00035435015851661197,0.00047861470007875255,0.0,Actinopterygii,Spiny-rayed fishes,1
Acari,2,2,2,0.006242041538044238,0.0017041979826248738,0.0,Arachnida,Mites and Ticks,0
Acarospora socialis,1,1,1,0.0,0.0,0.0,Fungi,Yellow Cobblestone Lichen,0
Accipiter striatus,3,3,3,0.012545338905090091,0.006620488576714659,0.6666666666666666,Aves,Sharp-shinned Hawk,0
Accipitridae,6,6,5,0.014139725904946183,0.011131393651293788,0.0,Aves,"Hawks, Eagles, and Kites",0
Accipitriformes,4,4,4,0.01162403608100327,0.01024904619182751,0.0,Aves,"Hawks, Eagles, Kites, and Allies",0
Accipitrinae,2,2,2,0.0018559452191877577,0.0019176332854822788,0.0,Aves,Typical Hawks and Harriers,0
Aceria baccharices,3,3,3,0.016143984931115764,0.011519552171041468,0.6666666666666666,Arachnida,Mule Fat Blister Mite,0
Aceria baccharipha,1,1,1,0.0,0.0,0.0,Arachnida,Baccharis Leaf Blister Mite,0
Achelous xantusii,3,3,3,0.004650080000263587,0.003911822446582359,0.3333333333333333,Animalia,Xantus Swimming Crab,1
Achyra,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Achyra occidentalis,1,1,1,0.0,0.0,0.0,Insecta,Achyra occidentalis,0
Aciurina thoracica,2,2,2,0.011508791411027038,0.0031267476268419954,0.0,Insecta,Desert Broom Gallfly,0
Acmaea mitra,17,8,14,0.005217285470565263,0.0036473768299232594,0.9411764705882353,Mollusca,Whitecap Limpet,0
Acmispon,7,7,7,0.017036664848183176,0.00908556876456581,0.0,Plantae,deervetch,0
Acmispon americanus,1,1,1,0.0,0.0,1.0,Plantae,Spanish clover,0
Acmispon glaber,50,37,42,0.01145448667437952,0.007774343480986802,0.72,Plantae,deerweed,1
Acmispon glaber glaber,16,13,14,0.01490731337466806,0.007976496843231137,1.0,Plantae,Coastal Deerweed,0
Acmispon heermannii,1,1,1,0.0,0.0,1.0,Plantae,Heermann's Lotus,0
