scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Abronia,92,87,84,0.004229361647818337,0.0012456384780837367,0.0,Plantae,sand verbenas,0
Abronia maritima,39,28,38,0.012133077434513738,0.001912511679490549,0.8974358974358975,Plantae,red sand-verbena,1
Abronia umbellata,1188,740,829,0.0040347486020344304,0.0013477459570013612,0.8813131313131313,Plantae,Pink Sand Verbena,0
Abronia umbellata umbellata,42,35,40,0.004344386950406599,0.0017531027076970473,0.9285714285714286,Plantae,Beach Sand Verbena,0
Abronia × alba,1,1,1,0.0,0.0,1.0,Plantae,Beach Sand Verbena,0
Acacia,3,3,3,0.013271030080268316,0.005625749304759051,0.3333333333333333,Plantae,wattles,1
Acacia cyclops,7,5,5,0.0030132460237285406,0.0042068644527207665,0.8571428571428571,Plantae,western coastal wattle,1
Acacia longifolia,6,5,6,0.003037354170447587,0.00161415898094784,0.8333333333333334,Plantae,Longleaf Wattle,1
Acacia redolens,7,6,7,0.00020493417667768633,0.003391681271872414,0.8571428571428571,Plantae,vanilla-scented wattle,0
Acalyptratae,4,4,4,0.014003161457288771,0.0037715290126863732,0.0,Insecta,Acalyptrate Flies,1
Acanthogobius flavimanus,3,3,3,0.00011251387850315654,8.504399642494283e-05,1.0,Actinopterygii,Yellowfin Goby,0
Acantholomidea porosa,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Acanthomorpha,1,1,1,0.0,0.0,0.0,Actinopterygii,Spiny-rayed fishes,1
Acari,12,11,12,0.009405790882283618,0.004356264901133499,0.0,Arachnida,Mites and Ticks,1
Acariformes,2,2,2,0.005715541213190981,0.0030124443813568953,0.0,Arachnida,Unknown,0
Acarospora,16,13,15,0.009705144175300632,0.003553148977692777,0.0,Fungi,cobblestone lichens,0
Acarospora chrysops,3,1,3,0.0015430284883363682,0.0014342558285393308,0.3333333333333333,Fungi,Unknown,0
Acarospora fuscata,1,1,1,0.0,0.0,0.0,Fungi,brown cobblestone lichen,0
Acarospora obpallens,10,3,6,0.014814919150874125,0.005903178689586029,0.7,Fungi,Acorn Cups,0
Acarospora oligospora,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Acarospora privigna,2,2,2,0.011318211001412204,0.003672118368942211,0.5,Fungi,Common Coal Dust Lichen,0
Acarospora robiniae,11,5,11,0.012251347793135645,0.002356965046462138,0.45454545454545453,Fungi,Unknown,0
Acarospora schleicheri,4,2,2,0.0010945343388436125,0.0005183059220861072,1.0,Fungi,Soil Paint Lichen,0
Acarospora socialis,43,36,41,0.008358791113764205,0.002858800316516487,0.3488372093023256,Fungi,Yellow Cobblestone Lichen,0
Acarospora strigata,1,1,1,0.0,0.0,0.0,Fungi,hoary cobblestone lichen,0
Acarospora veronensis,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Acarosporaceae,3,2,3,0.009016499595603928,0.0006111195474706513,0.0,Fungi,cobblestone lichen family,0
Accipiter striatus,1,1,1,0.0,0.0,1.0,Aves,Sharp-shinned Hawk,1
Accipitridae,3,3,3,0.002196967987517812,0.0018061576335741765,0.0,Aves,"Hawks, Eagles, and Kites",1
Aceria,1,1,1,0.0,0.0,0.0,Arachnida,Unknown,0
Aceria baccharipha,1,1,1,0.0,0.0,1.0,Arachnida,Baccharis Leaf Blister Mite,0
Aceria boycei,6,5,6,0.007327106455319358,0.0066834632703007745,0.6666666666666666,Arachnida,Ragweed Gall Mite,0
Aceria paracalifornica,2,2,2,0.0007648538585557044,0.00767564410977452,1.0,Arachnida,California Sagebrush Gall Mite,0
Achelous xantusii,8,8,7,0.007240846184874073,0.0010300062238882853,0.75,Animalia,Xantus Swimming Crab,1
Achillea millefolium,2,2,2,0.001761347201206681,0.001366231912499025,1.0,Plantae,common yarrow,0
Achnanthes,4,1,2,0.00266264051880289,0.0030698733621087283,0.0,Chromista,Unknown,0
Achyra rantalis,1,1,1,0.0,0.0,0.0,Insecta,Garden Webworm Moth,0
Acmaeodera,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Acmaeodera prorsa,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Acmispon,71,64,65,0.007883172489784145,0.004274223623446138,0.0,Plantae,deervetch,1
Acmispon americanus,5,3,5,8.457901656712382e-05,3.067391135469671e-05,0.6,Plantae,Spanish clover,0
Acmispon argophyllus,1,1,1,0.0,0.0,0.0,Plantae,silver bird's-foot trefoil,0
Acmispon glaber,636,315,439,0.009255800760640618,0.0035855911877734838,0.6713836477987422,Plantae,deerweed,1
Acmispon glaber glaber,250,115,205,0.009247613116298419,0.004214874928814925,0.92,Plantae,Coastal Deerweed,1
Acmispon heermannii,5,4,5,0.0030566856953314447,0.0003044320360885663,0.6,Plantae,Heermann's Lotus,0
Acmispon heermannii heermannii,2,1,2,4.12478719991005e-05,1.1785136584114637e-05,1.0,Plantae,Heermann's lotus,0
Acmispon maritimus,10,10,10,0.00877698012950631,0.001976147966751373,0.4,Plantae,coastal bird's-foot trefoil,1
Acmispon maritimus maritimus,4,4,4,3.844996389537403e-05,7.198641342572093e-05,1.0,Plantae,Coastal bird's-foot trefoil,1
Acmispon micranthus,6,5,6,0.005170480991656055,0.0008384231153987663,0.5,Plantae,San Diego bird's-foot trefoil,1
Acmispon strigosus,24,14,20,0.010028819833334677,0.009521760906145798,0.8333333333333334,Plantae,strigose lotus,0
Acourtia microcephala,2,2,2,0.002328627434792724,0.002950995458555364,1.0,Plantae,Sacapellote,0
Acreophthiria,2,2,2,0.013014300307739353,0.002226993492216263,0.0,Insecta,Unknown,0
Acrididae,3,2,3,0.013190098039114195,0.0025682098541095224,0.0,Insecta,Short-horned Grasshoppers,0
Acrididea,2,2,2,0.00031872131055312705,0.0022731854548139426,0.0,Insecta,Grasshoppers,1
Acrocera,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Acrosiphonia coalita,1,1,1,0.0,0.0,0.0,Plantae,green rope,0
Actinopterygii,6,5,6,0.006074385053694216,0.0013503770319353908,0.0,Actinopterygii,Ray-finned Fishes,1
Actitis macularius,2,2,2,0.00024725933148403537,0.00022216998080137244,1.0,Aves,Spotted Sandpiper,1
Aculeata,2,2,2,0.0019232429050107433,0.00016367542085187593,0.0,Insecta,"Ants, Bees, and Stinging Wasps",0
Aculops aenigma,1,1,1,0.0,0.0,0.0,Arachnida,Unknown,0
Adela,2,1,1,7.07106781210021e-05,0.00013317175355489593,0.0,Insecta,Unknown,0
Adela flammeusella,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Adelinae,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Adeloidea,1,1,1,0.0,0.0,0.0,Insecta,Fairy Moths and Allies,0
Adelpha californica,1,1,1,0.0,0.0,1.0,Insecta,California Sister,0
Adenophyllum,1,1,1,0.0,0.0,0.0,Plantae,dogweeds,0
Adenostoma,1,1,1,0.0,0.0,0.0,Plantae,Unknown,0
