scientific_name,common_name,iconic_taxon_name,present_in_main,main_obs_count,backup_obs_count,log_obs_count,backup_unique_users,backup_unique_days,avg_elevation,avg_slope,avg_ndvi,avg_soil_sand,avg_soil_ph,avg_soil_clay
Abronia,sand verbenas,Plantae,0,0.0,92,4.532599493153256,87,84,49.65217391304348,15.9757585240447,0.14440780359765754,33.5,55.45652173913044,20.891304347826086
Abronia maritima,red sand-verbena,Plantae,1,1.0,39,3.6888794541139363,28,38,9.743589743589743,18.14676508078208,0.11346080383429157,29.794871794871796,45.666666666666664,16.564102564102566
Abronia umbellata,Pink Sand Verbena,Plantae,0,0.0,1188,7.080867896690782,740,829,52.99326599326599,16.539134431216453,0.14308548180123018,35.42087542087542,58.84511784511785,22.40824915824916
Abronia umbellata umbellata,Beach Sand Verbena,Plantae,0,0.0,42,3.7612001156935624,35,40,49.95238095238095,16.52104950093088,0.13698811354559087,35.69047619047619,58.88095238095238,22.047619047619047
Abronia × alba,Beach Sand Verbena,Plantae,0,0.0,1,0.6931471805599453,1,1,2.0,1.1049453020095823,0.0745140314102172,45.0,69.0,26.0
Acacia,wattles,Plantae,1,1.0,3,1.3862943611198906,3,3,68.33333333333333,5.464895327885945,0.16411023338635758,49.333333333333336,69.33333333333333,23.0
Acacia cyclops,western coastal wattle,Plantae,1,4.0,7,2.0794415416798357,5,5,93.71428571428571,7.203753539494106,0.13447922893932882,53.285714285714285,72.42857142857143,21.285714285714285
Acacia longifolia,Longleaf Wattle,Plantae,1,7.0,6,1.9459101490553132,5,6,78.5,6.429132580757141,0.17591823761661843,50.333333333333336,71.5,22.166666666666668
Acacia redolens,vanilla-scented wattle,Plantae,0,0.0,7,2.0794415416798357,6,7,2.857142857142857,3.5939731938498363,0.15482747129031588,37.714285714285715,58.285714285714285,20.571428571428573
Acalyptratae,Acalyptrate Flies,Insecta,1,1.0,4,1.6094379124341003,4,4,64.0,7.717073857784271,0.16364552825689313,48.0,71.75,22.75
Acanthogobius flavimanus,Yellowfin Goby,Actinopterygii,0,0.0,3,1.3862943611198906,3,3,1.6666666666666667,5.239865303039552,0.17033865551153812,46.333333333333336,69.66666666666667,23.333333333333332
Acantholomidea porosa,Unknown,Insecta,0,0.0,1,0.6931471805599453,1,1,67.0,8.28909969329834,0.1552111059427261,40.0,71.0,29.0
