id,uuid,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,quality_grade,license,place_guess,latitude,longitude,positional_accuracy,scientific_name,common_name,iconic_taxon_name,taxon_id
24202208,c6d74be7-b855-4946-87df-6755c8b71a5d,2019-04-29,2019-04-29 16:31:00+00:00,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,research,CC-BY-NC-ND,"La Jolla Farms, San Diego, CA 92037, USA",32.8744138889,-117.2511138889,,Abronia maritima,red sand-verbena,Plantae,75244.0
184467449,38c2840e-a66f-4598-8ba8-5e90086193c4,2023-09-22,2023-09-23 00:11:52+00:00,Pacific Time (US & Canada),2615636,pratyeka,,needs_id,CC-BY-NC,"VPGX+XM, La Jolla, CA 92037, USA",32.8777411851,-117.250373885,201.0,Acacia,wattles,Plantae,47452.0
67915595,04e1134a-13e1-44e5-bb76-98b738053153,2021-01-10,2021-01-10 15:38:00+00:00,Pacific Time (US & Canada),1422818,kuyeda,Kellie Uyeda,needs_id,CC-BY-NC,"San Diego, UC Natural Reserve System, California, United States",32.8775583333,-117.2504138889,,Acacia cyclops,western coastal wattle,Plantae,75249.0
264866085,23b9f23f-1ffc-4aa4-87b4-5f9f8ddbf79d,2025-03-10,2025-03-10 21:08:20+00:00,Pacific Time (US & Canada),8734406,megynhorton,,research,CC-BY-NC,"Scripps Coastal Reserve, San Diego, CA, US",32.8777616667,-117.2502283333,14.0,Acacia cyclops,western coastal wattle,Plantae,75249.0
273519396,9383ef6a-7921-4ad0-ab74-d72b5fd8cf02,2025-04-25,2025-04-26 01:51:58+00:00,Pacific Time (US & Canada),5089559,hazelsalunga,,needs_id,CC-BY-NC,"Blacks Beach Way, San Diego, CA, US",32.8797720215,-117.2469849452,4.0,Acacia cyclops,western coastal wattle,Plantae,75249.0
294635738,6bcda64a-4063-4ce7-aa36-6583641f5e61,2025-07-02,2025-07-02 17:26:07+00:00,Pacific Time (US & Canada),813815,alanyu,Alan Yu,needs_id,,San Diego,32.877746582,-117.2502441406,7.0,Acacia cyclops,western coastal wattle,Plantae,75249.0
5181492,9380494b-eee2-4d98-8ef1-55c131df4c58,2017-02-25,2017-02-25 22:30:00+00:00,Pacific Time (US & Canada),317669,alex_bairstow,Alex Bairstow,research,CC-BY-NC,"La Jolla, San Diego, CA, USA",32.878149376,-117.2472256422,8.0,Acacia longifolia,Longleaf Wattle,Plantae,63379.0
39407228,fad20868-a0dc-4e62-9813-64aca1ec1340,2020-03-01,2020-03-01 08:30:12+00:00,UTC,1260359,shannonbutler,Shannon Butler,research,,"Pacific Ocean, , CA, US",32.8775435721,-117.2503377624,56.0,Acacia longifolia,Longleaf Wattle,Plantae,63379.0
60261311,f5f04103-a221-48b1-b54b-24a5d915685a,2020-09-20,2020-09-20 23:37:35+00:00,Pacific Time (US & Canada),3596894,christianhotaling,Christian Hotaling,needs_id,,"La Jolla Farms, San Diego, CA 92037, USA",32.87779842,-117.25031283,5.0,Acacia longifolia,Longleaf Wattle,Plantae,63379.0
112587984,b7b477c3-4e19-478a-99f0-2eff3e8511d4,2022-04-23,2022-04-23 22:18:14+00:00,Pacific Time (US & Canada),5550025,alexisxoliver,,needs_id,CC-BY-NC,"Scripps Coastal Reserve, San Diego, CA, US",32.8776108896,-117.2505802848,46.0,Acacia longifolia,Longleaf Wattle,Plantae,63379.0
197858784,1146c271-8107-4770-a059-c185a21dc9b1,2024-01-27,2024-01-27 18:17:13+00:00,Pacific Time (US & Canada),60758,annaarft,Anna Arft,research,CC-BY-NC,"La Jolla Shores Dr, San Diego, CA, US",32.8776326431,-117.2503779251,4.0,Acacia longifolia,Longleaf Wattle,Plantae,63379.0
201185609,827374fa-c6c3-4122-923f-649f5116073e,2024-03-03,2024-03-03 22:03:59+00:00,Pacific Time (US & Canada),7832372,jydouglas,Douglas Jiang,research,CC-BY-NC,"Scripps Coastal Reserve, San Diego, CA, US",32.87973,-117.247055,5.0,Acacia longifolia,Longleaf Wattle,Plantae,63379.0
229117164,387d1999-dfa9-40f5-9467-f315f7c56e20,2024-07-13,2024-07-13 20:19:54+00:00,Pacific Time (US & Canada),60758,annaarft,Anna Arft,research,CC-BY-NC,"Blacks Beach Way, San Diego, CA, US",32.8797369726,-117.2469926788,4.0,Acacia longifolia,Longleaf Wattle,Plantae,63379.0
264866052,dadbdb6a-2c55-4aee-bfbb-713940b205fe,2025-03-10,2025-03-10 21:07:54+00:00,Pacific Time (US & Canada),8734406,megynhorton,,research,CC-BY-NC,"Scripps Coastal Reserve, San Diego, CA, US",32.8777916667,-117.2502366667,21.0,Acacia longifolia longifolia,Golden Rods,Plantae,740956.0
5529519,465e3f42-691b-4876-bfe9-618662778fc4,2017-04-01,2017-04-01 18:43:09+00:00,Pacific Time (US & Canada),401364,keoni,Keoni Alvarado,needs_id,,"8610 Charles F. Kennel Way, San Diego, CA, US",32.868244322,-117.253752798,10.0,Acalyptratae,Acalyptrate Flies,Insecta,48088.0
37991634,8a386d26-5691-449c-97de-c78603ecfa01,2020-01-25,2020-01-26 01:43:00+00:00,Pacific Time (US & Canada),147592,bridgetspencer,Bridget Spencer,needs_id,CC-BY-NC,"Scripps Tidepools, San Diego County, CA, USA",32.8714588844,-117.2534190829,10.0,Acanthinucella,,Mollusca,129945.0
165718505,b4723f74-79e1-4f65-8c39-653040ecd226,2022-05-20,2022-05-20 14:56:45+00:00,Pacific Time (US & Canada),255175,samantha38,Samantha Killfoil,needs_id,,"North Pacific Ocean, CA, US",32.871525,-117.253595,4.0,Acanthinucella,,Mollusca,129945.0
166324700,16cd7177-0b11-48d2-bc29-fa6368850026,2022-05-20,2022-05-20 17:08:12+00:00,Pacific Time (US & Canada),255175,samantha38,Samantha Killfoil,needs_id,,"North Pacific Ocean, CA, US",32.871795,-117.253105,13.0,Acanthinucella,,Mollusca,129945.0
160851887,37f553a2-3a78-41c6-a3df-78aa2f2e025e,2022-07-15,2022-07-15 14:37:42+00:00,Pacific Time (US & Canada),255175,samantha38,Samantha Killfoil,needs_id,,"North Pacific Ocean, CA, US",32.8712716667,-117.2534333333,4.0,Acanthinucella,,Mollusca,129945.0
160779205,48816728-64ea-49fe-ab64-fe7c47476eb3,2022-07-15,2022-07-15 14:49:50+00:00,Pacific Time (US & Canada),255175,samantha38,Samantha Killfoil,needs_id,,"North Pacific Ocean, CA, US",32.8713083333,-117.2534783333,5.0,Acanthinucella,,Mollusca,129945.0
159183232,fc15be24-5fd4-4389-89ff-b60fef53c9be,2023-02-17,2023-02-17 20:55:13+00:00,Pacific Time (US & Canada),255175,samantha38,Samantha Killfoil,needs_id,,"North Pacific Ocean, CA, US",32.8714033333,-117.2536166667,4.0,Acanthinucella,,Mollusca,129945.0
159336768,85f63288-f085-4d32-a8d9-6a58442798c7,2023-02-17,2023-02-17 22:53:14+00:00,Pacific Time (US & Canada),255175,samantha38,Samantha Killfoil,needs_id,,"North Pacific Ocean, CA, US",32.8717833333,-117.2532116667,4.0,Acanthinucella,,Mollusca,129945.0
175456966,8d1ae52b-bcb1-437a-a3c6-a14f50294264,2023-06-09,2023-06-09 17:20:00+00:00,Pacific Time (US & Canada),4426566,walkabata,Alexis,needs_id,CC-BY-NC,"San Diego County, CA, USA",32.871685938,-117.2535636639,2.0,Acanthinucella,,Mollusca,129945.0
204151769,f3a32219-5348-4a9b-9b50-c2c749da7b97,2024-03-16,2024-03-16 21:18:00+00:00,Pacific Time (US & Canada),4636608,buckeye_chestnut,,needs_id,CC-BY-NC,"La Jolla, San Diego, CA, USA",32.8698039619,-117.2534994578,12.0,Acanthinucella,,Mollusca,129945.0
214514412,4613d4d4-0e24-4270-b416-12acf546f607,2024-03-27,2024-03-27 22:54:52+00:00,Pacific Time (US & Canada),255175,samantha38,Samantha Killfoil,needs_id,,"North Pacific Ocean, CA, US",32.871345,-117.2533333333,13.0,Acanthinucella,,Mollusca,129945.0
