id,uuid,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,quality_grade,license,place_guess,latitude,longitude,positional_accuracy,scientific_name,common_name,iconic_taxon_name,taxon_id
318313269,b9445727-52ca-4e5a-8385-b9332d78993b,2025-09-24,2025-09-25 03:15:00+00:00,Pacific Time (US & Canada),1101482,garybnunn,Gary Nunn,needs_id,CC-BY-NC,"Monument Road terminus, Tijuana River Valley, San Diego, CA, USA",32.5432081737,-117.1063868015,2.0,Abagrotis kirkwoodi,,Insecta,367005.0
317394524,df8de110-45a4-4d4a-8298-8faddb5bd97d,2025-09-24,2025-09-25 03:22:00+00:00,Pacific Time (US & Canada),147592,bridgetspencer,Bridget Spencer,needs_id,CC-BY-NC,"Tijuana River Valley, San Diego, CA, USA",32.5431908316,-117.1063803243,8.0,Abagrotis kirkwoodi,,Insecta,367005.0
20898048,dc99827f-d5af-4510-b093-0c8f3e89891f,2019-03-02,2019-03-02 18:37:00+00:00,Pacific Time (US & Canada),159364,milliebasden,Millie Basden,needs_id,CC-BY,"Border Bioblitz Area 3, Seacoast Drive south toTijuana River mouth, Imperial Beach, CA",32.557865,-117.1308133333,,Abietinaria,Coarse Sea Fir Hydroids,Animalia,55322.0
20916473,b15386e3-c0ce-4a16-a9df-4a5b175e43be,2019-03-02,2019-03-02 19:33:00+00:00,Pacific Time (US & Canada),802004,docprt,,needs_id,CC-BY-NC,"Imperial Beach, CA, USA",32.5578805556,-117.1307305556,,Abietinaria,Coarse Sea Fir Hydroids,Animalia,55322.0
184897936,698e9e96-be76-444c-b6ec-3617eb9ee02d,2023-09-23,2023-09-23 16:12:00+00:00,Pacific Time (US & Canada),6046442,somebees,Samantha Barlin,needs_id,,"Imperial Beach, CA, USA",32.5553707088,-117.1290934594,411.0,Abronia,sand verbenas,Plantae,50255.0
326831374,5e5e4fda-542a-47be-83cf-b94161f518aa,2025-11-16,2025-11-16 16:27:21+00:00,Pacific Time (US & Canada),5021341,ibhappy,ibhappy,needs_id,CC-BY-NC,"Tijuana Slough National Wildlife Refuge, Imperial Beach, CA, US",32.5641401078,-117.1320466057,79.0,Abronia,sand verbenas,Plantae,50255.0
7765751,b2e63d54-3cc3-4210-9b7f-fae7a5fc602b,2011-03-16,2011-03-16 16:01:00+00:00,Eastern Time (US & Canada),566241,ganeish,Gordon Neish,research,CC-BY-NC,"Imperial Beach, CA, USA",32.5653,-117.132283,,Abronia maritima,red sand-verbena,Plantae,75244.0
539773,ac94ec11-9609-4e9d-b08e-cc45645c8fb1,2014-02-22,2014-02-22 17:48:10+00:00,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,research,,"Border Field State Park, CA",32.538854,-117.121468,275.0,Abronia maritima,red sand-verbena,Plantae,75244.0
956850,83663813-71d5-4443-8b79-e5dfe9c1d0ab,2014-09-13,2014-09-13 15:05:31+00:00,Pacific Time (US & Canada),10285,finatic,BJ Stacey,research,CC-BY-NC,Border Field SP,32.546263,-117.120867,1129.0,Abronia maritima,red sand-verbena,Plantae,75244.0
1088151,8db137d8-e938-4843-94ac-51eeb701023b,2014-11-22,2014-11-22 17:39:40+00:00,Pacific Time (US & Canada),8778,gyrrlfalcon,Jennifer Rycenga,research,CC-BY-NC,"Tijuana Slough National Wild Refuge, Imperial Beach, CA, US",32.5661283333,-117.1325083333,,Abronia maritima,red sand-verbena,Plantae,75244.0
1411736,5af65a4d-c2a5-4648-8f5d-302451e946d2,2015-04-21,2015-04-21 17:01:28+00:00,Pacific Time (US & Canada),60758,annaarft,Anna Arft,needs_id,CC-BY-NC,"Tijuana Slough National Wild Refuge, Imperial Beach, CA, US",32.566479,-117.132465,5.0,Abronia maritima,red sand-verbena,Plantae,75244.0
19126989,a662602e-f740-4292-8031-0ff3e175a0cc,2015-08-15,2015-08-15 15:35:00+00:00,Pacific Time (US & Canada),10326,natureali,Nature Ali,research,CC-BY-NC-ND,"Tijuana Slough National Wildlife Refuge, Tijuana Slough National Wildlife Refuge, San Diego, California, United States",32.5626935922,-117.1320998178,,Abronia maritima,red sand-verbena,Plantae,75244.0
1936582,de7ff7ee-efd3-4d37-a652-6750117545be,2015-08-29,2015-08-29 14:38:27+00:00,Pacific Time (US & Canada),10285,finatic,BJ Stacey,research,CC-BY-NC,Border Field SP,32.546263,-117.120867,1129.0,Abronia maritima,red sand-verbena,Plantae,75244.0
2101502,5886a315-be3c-47e2-b051-6728aac2074b,2015-10-10,2015-10-10 16:31:48+00:00,Pacific Time (US & Canada),10285,finatic,BJ Stacey,research,CC-BY-NC,Border Field SP,32.546263,-117.120867,1129.0,Abronia maritima,red sand-verbena,Plantae,75244.0
2197307,6cd0c335-ebbd-4d9e-93e4-49bee9b5bb33,2015-10-17,2015-10-18 03:43:49+00:00,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,research,,"Tijuana River Mouth, Imperial Beach, CA",32.560009,-117.129793,275.0,Abronia maritima,red sand-verbena,Plantae,75244.0
2592463,332310a9-4742-4b44-ac24-d986d5244945,2016-01-10,2016-01-10 22:31:29+00:00,Pacific Time (US & Canada),16576,matthew_salkiewicz,Matthew Salkiewicz,research,CC-BY-NC,"Border Field State Park, Imperial Beach, California",32.544702,-117.122063,,Abronia maritima,red sand-verbena,Plantae,75244.0
2688657,e69b5c6c-ab13-497a-9c97-86fc01b6d7dc,2016-02-13,2016-02-13 23:12:29+00:00,Pacific Time (US & Canada),10285,finatic,BJ Stacey,research,CC-BY-NC,Seacoast Dr,32.563041,-117.131814,,Abronia maritima,red sand-verbena,Plantae,75244.0
3342481,c9c10a22-5fbd-43ad-9e3f-57fb22dc6be7,2016-05-30,2016-05-30 17:36:23+00:00,Pacific Time (US & Canada),159364,milliebasden,Millie Basden,research,CC-BY,"Tijuana Slough National Wildlife Refuge, San Diego County, US-CA, US",32.56277523,-117.131754,4.0,Abronia maritima,red sand-verbena,Plantae,75244.0
3672722,c3085e02-d339-4649-8787-15f39e4660b5,2016-07-10,2016-07-10 18:55:44+00:00,Pacific Time (US & Canada),10285,finatic,BJ Stacey,research,CC-BY-NC,United States,32.536341,-117.122756,,Abronia maritima,red sand-verbena,Plantae,75244.0
4664294,7967e3a1-cdb4-410a-a986-a9f9454e0a6a,2016-11-12,2016-11-12 20:33:29+00:00,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,research,,"Tijuana River National Estuarine Research Reserve, Imperial Beach, CA",32.555833,-117.129325,,Abronia maritima,red sand-verbena,Plantae,75244.0
4789704,0718d9ba-6c95-4343-9c04-3304e8b7abd1,2016-12-17,2016-12-17 21:51:00+00:00,Pacific Time (US & Canada),317669,alex_bairstow,Alex Bairstow,research,CC-BY-NC,"Imperial Beach, CA, USA",32.5648254338,-117.132024765,8.0,Abronia maritima,red sand-verbena,Plantae,75244.0
