Reserve,Feature,Importance
Elliott_Chaparral,obs_count,0.32133
Elliott_Chaparral,unique_dates,0.17117
Elliott_Chaparral,unique_observers,0.124
Elliott_Chaparral,years_observed,0.10071
Elliott_Chaparral,observation_span_days,0.08571
Elliott_Chaparral,research_count,0.05189
Elliott_Chaparral,lat_std,0.03653
Elliott_Chaparral,lon_std,0.03583
Elliott_Chaparral,spatial_spread,0.03042
Elliott_Chaparral,days_since_first,0.0187
Elliott_Chaparral,days_since_last,0.00733
Elliott_Chaparral,research_ratio,0.00573
Elliott_Chaparral,taxon_encoded,0.00482
Elliott_Chaparral,n_other_reserves,0.00415
Elliott_Chaparral,in_other_reserves,0.00166
Los_Monos,obs_count,0.33234
Los_Monos,unique_observers,0.18125
Los_Monos,unique_dates,0.13594
Los_Monos,years_observed,0.11067
Los_Monos,observation_span_days,0.06988
Los_Monos,spatial_spread,0.04149
Los_Monos,lon_std,0.03791
Los_Monos,lat_std,0.03282
Los_Monos,research_count,0.02885
Los_Monos,days_since_first,0.01238
Los_Monos,days_since_last,0.00953
Los_Monos,research_ratio,0.0038
Los_Monos,n_other_reserves,0.00134
Los_Monos,taxon_encoded,0.00128
Los_Monos,in_other_reserves,0.00053
Mission_Bay,obs_count,0.29179
Mission_Bay,unique_dates,0.16506
Mission_Bay,unique_observers,0.16467
Mission_Bay,years_observed,0.12196
Mission_Bay,observation_span_days,0.07246
Mission_Bay,research_count,0.0497
Mission_Bay,spatial_spread,0.03632
Mission_Bay,lon_std,0.03404
Mission_Bay,lat_std,0.03136
Mission_Bay,days_since_first,0.01351
Mission_Bay,days_since_last,0.01123
Mission_Bay,research_ratio,0.00396
Mission_Bay,taxon_encoded,0.00279
Mission_Bay,n_other_reserves,0.00101
Mission_Bay,in_other_reserves,0.00012
Scripps,obs_count,0.29678
Scripps,unique_dates,0.19185
Scripps,unique_observers,0.15368
Scripps,years_observed,0.13019
Scripps,observation_span_days,0.06752
Scripps,spatial_spread,0.03902
Scripps,lon_std,0.03484
Scripps,lat_std,0.0307
Scripps,research_count,0.02867
Scripps,days_since_last,0.01344
Scripps,days_since_first,0.00987
Scripps,research_ratio,0.00184
Scripps,taxon_encoded,0.00085
Scripps,n_other_reserves,0.00054
Scripps,in_other_reserves,0.00019
