rank,scientific_name,common_name,iconic_taxon_name,confidence,prob_mean,prob_std,models_agree,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3
1,Pholiotina rugosa,Common Conecap,Fungi,Very High (>90%),0.9874,0.0127,6,0.9667,0.9913,0.978,0.9988,0.9909,0.9987
2,Ehrharta calycina,Perennial Veldtgrass,Plantae,Very High (>90%),0.9852,0.0098,6,0.97,0.9923,0.978,0.9955,0.9841,0.9915
3,Gazania linearis,Wedding Treasureflower,Plantae,Very High (>90%),0.9799,0.0161,6,0.9633,0.9735,0.961,0.9974,0.9901,0.9943
4,Canis,Wolves and Dogs,Mammalia,Very High (>90%),0.9741,0.0308,6,0.95,0.9822,0.9232,0.9986,0.9921,0.9985
5,Phalangioidea,,Arachnida,Very High (>90%),0.9636,0.0234,6,0.9233,0.957,0.9831,0.987,0.9575,0.974
6,Genea,,Plantae,Very High (>90%),0.9491,0.0311,6,0.8867,0.958,0.957,0.9721,0.9584,0.9627
7,Hyalophora euryalus,Ceanothus Silk Moth,Insecta,Very High (>90%),0.9447,0.0541,6,0.8467,0.9385,0.9344,0.9926,0.9643,0.9915
8,Lomatium utriculatum,Foothill desert-parsley,Plantae,Very High (>90%),0.9274,0.0587,6,0.8167,0.9593,0.9262,0.9576,0.9227,0.9822
9,Arctostaphylos glandulosa glandulosa,,Plantae,High (70-90%),0.8937,0.0613,6,0.78,0.9215,0.8843,0.9375,0.8901,0.9491
10,Stephanomeria exigua deanei,Deane's wirelettuce,Plantae,High (70-90%),0.8914,0.103,6,0.7367,0.9352,0.788,0.935,0.9721,0.9815
11,Sphecidae,Thread-waisted Wasps,Insecta,High (70-90%),0.88,0.0629,6,0.76,0.8976,0.9065,0.896,0.8757,0.9441
12,Beauveria bassiana,Icing sugar fungus,Fungi,High (70-90%),0.8638,0.0605,6,0.7667,0.8555,0.8982,0.8365,0.8811,0.9448
13,Triepeolus segregatus,,Insecta,High (70-90%),0.8561,0.0723,6,0.7567,0.9045,0.8469,0.7948,0.8802,0.9535
14,Gymnopilus thiersii,,Fungi,High (70-90%),0.8542,0.0887,6,0.69,0.8808,0.9083,0.9311,0.8198,0.8951
15,Quercus × acutidens,Torrey's Hybrid Oak,Plantae,High (70-90%),0.8424,0.1105,6,0.7933,0.9181,0.9116,0.6466,0.8432,0.9415
16,Taraxacum,dandelions,Plantae,High (70-90%),0.8338,0.1612,6,0.6533,0.742,0.6728,0.9961,0.9674,0.9707
17,Gloveria,,Insecta,High (70-90%),0.8233,0.1616,6,0.5967,0.7048,0.7477,0.9798,0.9584,0.9525
18,Hemileuca electra,Electra Buckmoth,Insecta,High (70-90%),0.748,0.1233,6,0.58,0.7901,0.8216,0.6603,0.7107,0.9254
19,Clarkia unguiculata,Elegant Clarkia,Plantae,High (70-90%),0.7301,0.1279,6,0.6267,0.768,0.8097,0.5218,0.8034,0.851
20,Gnaphalium palustre,western marsh cudweed,Plantae,High (70-90%),0.7204,0.1978,5,0.4,0.6378,0.6524,0.9206,0.8069,0.9046
21,Succineidae,Amber Snails,Mollusca,High (70-90%),0.719,0.1735,5,0.5933,0.8007,0.8474,0.4212,0.829,0.8225
22,Pseudomethoca athamas,,Insecta,Good (50-70%),0.686,0.2633,4,0.4,0.5282,0.423,0.8849,0.9066,0.9733
23,Xanthoria parietina,Common Sunburst Lichen,Fungi,Good (50-70%),0.6555,0.2174,5,0.6,0.7711,0.6725,0.2616,0.7298,0.8981
24,Dimorphotheca,Afro-Australian daisies,Plantae,Good (50-70%),0.6256,0.1637,4,0.41,0.6547,0.6184,0.4682,0.8078,0.7947
25,Acridoidea,Short-horned Grasshoppers and Locusts,Insecta,Good (50-70%),0.6121,0.2761,3,0.3167,0.4358,0.353,0.7864,0.8185,0.9624
26,Anorus piceus,,Insecta,Good (50-70%),0.5927,0.1719,4,0.3667,0.7096,0.597,0.4453,0.5973,0.8402
27,Polygonaceae,knotweed family,Plantae,Good (50-70%),0.589,0.094,5,0.54,0.685,0.6724,0.6216,0.5825,0.4324
28,Platyninae,,Insecta,Good (50-70%),0.5044,0.3768,3,0.1233,0.1703,0.1936,0.8962,0.8525,0.7905
29,Silene antirrhina,sleepy catchfly,Plantae,Moderate (30-50%),0.4994,0.2563,3,0.32,0.6003,0.7099,0.0949,0.4924,0.7787
30,Xenoglossa pomonae,Pomona Longhorn,Insecta,Moderate (30-50%),0.4847,0.2673,2,0.26,0.3071,0.3386,0.8724,0.7778,0.3521
31,Cercis,redbuds,Plantae,Moderate (30-50%),0.4692,0.0912,4,0.3767,0.5075,0.5038,0.3345,0.5352,0.5576
32,Dimorphotheca sinuata,Cape marigold,Plantae,Moderate (30-50%),0.4664,0.1574,3,0.3533,0.266,0.3857,0.5243,0.6825,0.5864
33,Cephenemyia,,Insecta,Moderate (30-50%),0.4624,0.1702,1,0.3333,0.4882,0.361,0.3644,0.4375,0.7896
34,Euodynerus,,Insecta,Moderate (30-50%),0.4578,0.1338,2,0.3433,0.3816,0.3797,0.5731,0.3941,0.6748
35,Hypochaeris radicata,Common Cat's-ear,Plantae,Moderate (30-50%),0.4466,0.2775,2,0.4933,0.6002,0.8622,0.0576,0.4023,0.2641
36,Chrysoperla carnea,carnea-group Green Lacewings,Insecta,Moderate (30-50%),0.4358,0.2868,2,0.1767,0.2388,0.2367,0.442,0.5943,0.9261
37,Anas platyrhynchos,Mallard,Aves,Moderate (30-50%),0.3997,0.2976,3,0.1167,0.1161,0.1535,0.6579,0.703,0.6508
38,Opuntieae,,Plantae,Moderate (30-50%),0.3651,0.2791,1,0.2,0.4214,0.8653,0.0456,0.3742,0.2842
39,Riccia,Crystalworts,Plantae,Moderate (30-50%),0.358,0.2945,2,0.0933,0.0998,0.1328,0.6976,0.716,0.4086
40,Festuca,Fescues,Plantae,Moderate (30-50%),0.3437,0.2516,2,0.42,0.646,0.5839,0.0566,0.2877,0.0679
41,Callimelissodes,,Insecta,Moderate (30-50%),0.3431,0.1624,1,0.2733,0.2455,0.3832,0.1395,0.6075,0.4094
42,Anopina,,Insecta,Moderate (30-50%),0.342,0.148,1,0.2,0.1888,0.2368,0.5048,0.4716,0.4496
43,Trifolium depauperatum,cowbag clover,Plantae,Moderate (30-50%),0.3387,0.1521,1,0.3467,0.2613,0.3604,0.1839,0.6198,0.2604
44,Bromus carinatus,California brome,Plantae,Moderate (30-50%),0.3349,0.1228,1,0.2233,0.267,0.2464,0.335,0.3829,0.5545
45,Hesperotettix viridis viridis,Snakeweed Grasshopper,Insecta,Moderate (30-50%),0.3335,0.1502,1,0.3,0.3757,0.5537,0.1447,0.4252,0.2016
46,Anostraca,Fairy Shrimps,Animalia,Moderate (30-50%),0.3324,0.1523,1,0.2967,0.3142,0.4768,0.1094,0.5309,0.2666
47,Trox gemmulatus,,Insecta,Moderate (30-50%),0.3307,0.1964,2,0.1867,0.2228,0.2523,0.5826,0.5794,0.1606
48,Lomatium dasycarpum dasycarpum,,Plantae,Moderate (30-50%),0.3262,0.2748,2,0.3967,0.5124,0.7522,0.0716,0.1048,0.1196
49,Hirundo rustica,Barn Swallow,Aves,Moderate (30-50%),0.3258,0.1128,0,0.2267,0.1982,0.2467,0.4249,0.4345,0.4239
50,Anatidae,"Ducks, Geese, and Swans",Aves,Moderate (30-50%),0.324,0.2415,1,0.1,0.1087,0.1475,0.4097,0.679,0.4988
51,Diachus auratus,Bronze Leaf Beetle,Insecta,Moderate (30-50%),0.3237,0.1479,1,0.28,0.276,0.3112,0.2344,0.2222,0.6184
52,Bethylinae,,Insecta,Moderate (30-50%),0.3216,0.1452,1,0.3567,0.4024,0.542,0.2157,0.282,0.1311
53,Malvaceae,Mallow and Hibiscus Family,Plantae,Moderate (30-50%),0.3202,0.2118,1,0.22,0.1717,0.2736,0.3964,0.7127,0.1468
