rank,scientific_name,common_name,iconic_taxon_name,confidence,prob_mean,prob_std,prob_min,prob_max,model_agreement,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3
1,Abagrotis kirkwoodi,,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
2,Abietinaria,Coarse Sea Fir Hydroids,Animalia,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
3,Abutilon palmeri,Palmer's Indian mallow,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
4,Acacia,wattles,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
5,Acacia baileyana,Cootamundra wattle,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
6,Acacia cyclops,western coastal wattle,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
7,Acacia redolens,vanilla-scented wattle,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
8,Acacia saligna,golden wreath wattle,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
9,Acalypha californica,California Copperleaf,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
10,Acalyptratae,Acalyptrate Flies,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
11,Acari,Mites and Ticks,Arachnida,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
12,Acarospora socialis,Yellow Cobblestone Lichen,Fungi,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
13,Accipiter striatus,Sharp-shinned Hawk,Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
14,Accipitridae,"Hawks, Eagles, and Kites",Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
15,Accipitriformes,"Hawks, Eagles, Kites, and Allies",Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
16,Accipitrinae,Typical Hawks and Harriers,Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
17,Aceria baccharices,Mule Fat Blister Mite,Arachnida,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
18,Aceria baccharipha,Baccharis Leaf Blister Mite,Arachnida,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
19,Achyra,,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
20,Achyra occidentalis,Achyra occidentalis,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
21,Aciurina thoracica,Desert Broom Gallfly,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
22,Acmaea mitra,Whitecap Limpet,Mollusca,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
23,Acmispon,deervetch,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
24,Acmispon americanus,Spanish clover,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
25,Acmispon glaber glaber,Coastal Deerweed,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
26,Acmispon heermannii,Heermann's Lotus,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
27,Acmispon heermannii heermannii,Heermann's lotus,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
28,Acmispon micranthus,San Diego bird's-foot trefoil,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
29,Acmispon strigosus,strigose lotus,Plantae,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
30,Acrididae,Short-horned Grasshoppers,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
31,Acrididea,Grasshoppers,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
32,Acrolophus,Grass Tubeworm Moths,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
33,Acrosticta,,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
34,Actinopterygii,Ray-finned Fishes,Actinopterygii,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
35,Aculeata,"Ants, Bees, and Stinging Wasps",Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
36,Adelpha californica,California Sister,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
37,Aechmophorus,Western and Clark's Grebes,Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
38,Aechmophorus clarkii,Clark's Grebe,Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
39,Aechmophorus occidentalis,Western Grebe,Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
40,Aedes aegypti,Yellow Fever Mosquito,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
41,Aedes squamiger,California Saltmarsh Mosquito,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
42,Aegialia,,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
43,Aegialiinae,,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
44,Aeronautes saxatalis,White-throated Swift,Aves,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
45,Agapostemon femoratus,Wide-legged Sweat Bee,Insecta,High (70-90%),0.8908,0.0001,0.8907,0.891,6/6 models agree,0.8908,0.8908,0.8907,0.8908,0.8908,0.891
