rank,scientific_name,common_name,iconic_taxon_name,confidence,prob_mean,prob_std,prob_min,prob_max,model_agreement,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3
1,Heliopetes ericetorum,Northern White-Skipper,Insecta,High (70-90%),0.8823,0.0323,0.8312,0.9063,6/6 models agree,0.9058,0.8989,0.8522,0.9063,0.8312,0.8992
2,Zarhipis,,Insecta,High (70-90%),0.8661,0.0943,0.7394,0.9895,6/6 models agree,0.9895,0.8964,0.7903,0.9421,0.7394,0.839
3,Eupeodes volucris,Large-tailed Aphideater,Insecta,High (70-90%),0.866,0.0869,0.7644,0.9914,6/6 models agree,0.9914,0.9095,0.7704,0.8923,0.7644,0.8678
4,Sternula antillarum browni,California Least Tern,Aves,High (70-90%),0.8652,0.0683,0.7684,0.956,6/6 models agree,0.956,0.8416,0.7684,0.9245,0.8258,0.8748
5,Iridopsis fragilaria,,Insecta,High (70-90%),0.8623,0.0773,0.774,0.9622,6/6 models agree,0.9622,0.8791,0.8146,0.9405,0.774,0.8034
6,Neoscona,Spotted Orbweavers,Arachnida,High (70-90%),0.8589,0.0588,0.7802,0.9317,6/6 models agree,0.9157,0.8663,0.7802,0.9317,0.8093,0.8501
7,Punctularia atropurpurascens,Purple Fuzz,Fungi,High (70-90%),0.8578,0.0628,0.7735,0.9254,6/6 models agree,0.9254,0.8496,0.7977,0.9196,0.7735,0.8812
8,Baccharis sergiloides,desert baccharis,Plantae,High (70-90%),0.8476,0.0449,0.777,0.8882,6/6 models agree,0.8882,0.8695,0.777,0.8879,0.8115,0.8519
9,Volvopluteus,,Fungi,High (70-90%),0.8476,0.0449,0.777,0.8882,6/6 models agree,0.8882,0.8695,0.777,0.8879,0.8115,0.8519
10,Ligustrum lucidum,tree privet,Plantae,High (70-90%),0.8457,0.0794,0.7493,0.9403,6/6 models agree,0.9285,0.8523,0.7664,0.9403,0.7493,0.8376
11,Pruinomycena acicula,orange bonnet,Fungi,High (70-90%),0.8456,0.0878,0.7546,0.9906,6/6 models agree,0.9906,0.8776,0.7546,0.875,0.7696,0.8059
12,Agaricus xanthodermus,Yellow Stainer,Fungi,High (70-90%),0.845,0.0574,0.7848,0.9237,6/6 models agree,0.9095,0.8212,0.7848,0.9237,0.8055,0.8252
13,Acmispon glaber brevialatus,short-winged deerweed,Plantae,High (70-90%),0.8378,0.0617,0.7391,0.9202,6/6 models agree,0.8224,0.8582,0.7391,0.9202,0.8138,0.8731
14,Myxomycetes,true slime molds,Protozoa,High (70-90%),0.8368,0.092,0.7304,0.9835,6/6 models agree,0.9835,0.828,0.7304,0.8947,0.7598,0.8244
15,Xylocopa sonorina,Valley Carpenter Bee,Insecta,High (70-90%),0.835,0.0438,0.7802,0.8809,6/6 models agree,0.8809,0.8695,0.7985,0.8713,0.7802,0.8098
16,Ectopsocidae,Outer Barklice,Insecta,High (70-90%),0.835,0.0926,0.6921,0.9477,6/6 models agree,0.9142,0.7954,0.6921,0.9477,0.7995,0.8612
17,Bubo virginianus pacificus,Coastal Great Horned Owl,Aves,High (70-90%),0.8321,0.0678,0.7507,0.9157,6/6 models agree,0.8925,0.8241,0.7592,0.9157,0.7507,0.8505
18,Toxomerus occidentalis,Western Calligrapher,Insecta,High (70-90%),0.8279,0.064,0.742,0.9072,6/6 models agree,0.8934,0.8312,0.742,0.9072,0.7797,0.8138
