rank,scientific_name,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,common_name,iconic_taxon_name,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3,prob_mean,prob_std,models_agree,confidence,imputed_into,sourced_from
1,Pholiotina rugosa,193.0,5.67983865737915,270.0,0.1409516334533691,52.0,0.0,186.0,43.0,72.0,28.0,Common Conecap,Fungi,0.9666666666666667,0.9912804045805379,0.9779905158752265,0.9987871,0.9908794,0.99868053,0.9873807734417105,0.012668762585156746,6,Very High (>90%),Elliott Chaparral,Mission Trails
2,Ehrharta calycina,215.0,7.258864402770996,200.5200958251953,0.12919045984745026,52.0,0.0,184.5,43.0,72.5,27.0,Perennial Veldtgrass,Plantae,0.97,0.9923381420357039,0.9779550412444415,0.9954646,0.9840596,0.9914704,0.9852146291655162,0.009802674613051026,6,Very High (>90%),Elliott Chaparral,Mission Trails
3,Gazania linearis,183.0,8.440946102142334,177.30377197265622,0.12673932313919065,52.0,0.0,186.0,43.5,72.5,27.0,Wedding Treasureflower,Plantae,0.9633333333333334,0.9735418486116879,0.9609706958324133,0.9973896,0.9901087,0.99434847,0.979948781194107,0.016075122066850207,6,Very High (>90%),Elliott Chaparral,Mission Trails
4,Canis,188.0,3.435020446777344,270.0,0.1249032393097877,21.0,1.0,186.0,43.0,72.0,26.0,Wolves and Dogs,Mammalia,0.95,0.9822264415557596,0.9231868910157996,0.99859554,0.992057,0.9984837,0.9740916018668103,0.030841676368877673,6,Very High (>90%),Elliott Chaparral,Mission Trails
5,Phalangioidea,193.0,7.846303701400757,243.6547622680664,0.12264775112271305,52.0,0.0,200.0,43.5,70.5,28.0,,Arachnida,0.9233333333333333,0.9569846087133507,0.9830917995924718,0.9870047,0.95748025,0.973963,0.9636429521638584,0.023399617232184432,6,Very High (>90%),Elliott Chaparral,Mission Trails
6,Genea,186.0,10.096575736999512,247.21371459960935,0.1263144463300705,52.0,0.0,186.0,42.0,72.0,27.0,,Plantae,0.8866666666666667,0.958037192841586,0.9570087987092828,0.9720852,0.9583775,0.9626965,0.9491453015491343,0.031111367604773472,6,Very High (>90%),Elliott Chaparral,Mission Trails
7,Hyalophora euryalus,183.0,7.896994590759277,229.95608520507807,0.1437003910541534,52.0,0.0,186.0,44.0,72.0,29.0,Ceanothus Silk Moth,Insecta,0.8466666666666667,0.9385019779760911,0.9343921161389934,0.99258316,0.96434903,0.9915406,0.9446722597753979,0.054089040707647675,6,Very High (>90%),Elliott Chaparral,Mission Trails
8,Lomatium utriculatum,180.0,7.547772407531738,299.254150390625,0.1383072882890701,52.0,0.0,170.0,43.0,72.0,28.0,Foothill desert-parsley,Plantae,0.8166666666666667,0.9593065163302147,0.9261954415680347,0.95755917,0.9226588,0.9822176,0.9274340339774737,0.05868281803372894,6,Very High (>90%),Elliott Chaparral,Mission Trails
9,Arctostaphylos glandulosa glandulosa,215.0,3.253756672143936,139.7686004638672,0.12632439285516736,37.0,10.0,187.0,42.5,72.5,28.0,,Plantae,0.78,0.9214548186133208,0.8842903138346098,0.93752235,0.89011997,0.94909096,0.8937464019460236,0.061299139549740575,6,High (70-90%),Elliott Chaparral,Mission Trails
10,Stephanomeria exigua deanei,189.5,9.677318453788757,248.75975799560547,0.1473076045513153,36.5,6.0,243.5,43.0,72.0,27.5,Deane's wirelettuce,Plantae,0.7366666666666667,0.9351603126333641,0.7879874819041147,0.9350136,0.97210556,0.98151463,0.8914080414726889,0.10304144624481545,6,High (70-90%),Elliott Chaparral,Mission Trails
11,Sphecidae,201.5,7.263551235198975,135.80201721191406,0.1414827704429626,52.0,0.0,187.0,44.5,72.0,28.5,Thread-waisted Wasps,Insecta,0.76,0.8976135297261113,0.9064835936791112,0.89603806,0.87574947,0.9441352,0.8800033061141578,0.06292888972546067,6,High (70-90%),Elliott Chaparral,Mission Trails
12,Beauveria bassiana,210.5,4.357195019721985,259.4478454589844,0.1327489241957664,36.5,1.5,211.0,44.5,72.5,27.5,Icing sugar fungus,Fungi,0.7666666666666667,0.8554828582901473,0.8982071562318329,0.8365259,0.881148,0.94477826,0.863801473750125,0.06048176400012721,6,High (70-90%),Elliott Chaparral,Mission Trails
13,Triepeolus segregatus,199.5,8.16237759590149,270.0,0.13783237338066096,36.5,1.0,200.5,44.0,72.5,29.5,,Insecta,0.7566666666666667,0.9044759717986932,0.8469474362844016,0.79476327,0.88022393,0.9534883,0.8560942603303282,0.07230439757409904,6,High (70-90%),Elliott Chaparral,Mission Trails
14,Gymnopilus thiersii,187.0,11.051329612731934,80.45833587646484,0.1414021402597427,52.0,0.0,186.0,42.0,72.0,29.0,,Fungi,0.69,0.8807697841990032,0.9082696533480207,0.9311362,0.81981164,0.89509994,0.854181201420674,0.08873067143875153,6,High (70-90%),Elliott Chaparral,Mission Trails
15,Quercus × acutidens,218.5,9.862438201904297,311.1748504638672,0.15287854522466654,52.0,0.0,187.0,43.5,72.0,27.5,Torrey's Hybrid Oak,Plantae,0.7933333333333333,0.9181347262418423,0.9115863400866432,0.6466279,0.8431821,0.9414863,0.8423917814381586,0.11052190377734541,6,High (70-90%),Elliott Chaparral,Mission Trails
16,Taraxacum,194.0,4.7153120040893555,177.3555450439453,0.0872809626162052,23.0,69.0,183.5,44.0,72.0,29.5,dandelions,Plantae,0.6533333333333333,0.7420463975460908,0.6728238149145401,0.99613994,0.9674394,0.9707263,0.8337515356118602,0.16116005964721555,6,High (70-90%),Elliott Chaparral,Mission Trails
17,Gloveria,177.0,9.279584407806396,197.05088043212888,0.12740998715162274,36.5,0.5,183.5,44.5,72.5,26.5,,Insecta,0.5966666666666667,0.7048268117571549,0.7476629545391725,0.979802,0.9584272,0.9525461,0.823321959312853,0.1616021787631775,6,High (70-90%),Elliott Chaparral,Mission Trails
18,Hemileuca electra,178.0,5.803507328033447,108.57449340820312,0.1247533559799194,52.0,0.0,187.0,44.0,72.0,29.0,Electra Buckmoth,Insecta,0.58,0.7901171527817803,0.8216484383920019,0.6603072,0.71071887,0.9253587,0.7480250670958583,0.12325417723614722,6,High (70-90%),Elliott Chaparral,Mission Trails
19,Clarkia unguiculata,212.0,3.546942710876465,44.23588180541992,0.1605035811662674,23.0,37.0,209.0,44.0,72.0,29.0,Elegant Clarkia,Plantae,0.6266666666666667,0.7679684110449593,0.8096831921062249,0.5217722,0.8033546,0.85101956,0.7300774429786241,0.12794858500755085,6,High (70-90%),Elliott Chaparral,Mission Trails
20,Gnaphalium palustre,199.0,3.9676494598388676,215.55990600585938,0.1371175423264503,52.0,0.0,186.0,43.0,73.0,29.5,western marsh cudweed,Plantae,0.4,0.6377553487700516,0.6523511941355765,0.9206149,0.806902,0.9046298,0.7203755431705812,0.19780099278336008,5,High (70-90%),Elliott Chaparral,Mission Trails
21,Succineidae,209.0,7.0713982582092285,276.6709747314453,0.14252093434333796,36.5,0.5,208.5,43.0,72.5,29.5,Amber Snails,Mollusca,0.5933333333333334,0.8006936194101878,0.8473509532124899,0.42121536,0.8289912,0.822498,0.7190137432600228,0.1734505800303934,5,High (70-90%),Elliott Chaparral,Mission Trails
