Pair,Model,ROC_AUC
BuenaVista_vs_LosMonos,RF_v3,0.6529
BuenaVista_vs_LosMonos,XGB_v2,0.6526
BuenaVista_vs_LosMonos,XGB_v3,0.6473
BuenaVista_vs_LosMonos,RF_v2,0.6456
BuenaVista_vs_LosMonos,XGB_v1,0.6417
BuenaVista_vs_LosMonos,RF_v1,0.6361
Tijuana_Estuary_vs_Tijuana_River,XGB_v2,0.9067
Tijuana_Estuary_vs_Tijuana_River,XGB_v3,0.9066
Tijuana_Estuary_vs_Tijuana_River,XGB_v1,0.9061
Tijuana_Estuary_vs_Tijuana_River,RF_v3,0.9059
Tijuana_Estuary_vs_Tijuana_River,RF_v1,0.9058
Tijuana_Estuary_vs_Tijuana_River,RF_v2,0.9058
Torrey_Pines_vs_Elliott_Chaparral,XGB_v2,0.8292
Torrey_Pines_vs_Elliott_Chaparral,XGB_v3,0.8277
Torrey_Pines_vs_Elliott_Chaparral,RF_v3,0.8273
Torrey_Pines_vs_Elliott_Chaparral,XGB_v1,0.8271
Torrey_Pines_vs_Elliott_Chaparral,RF_v2,0.8252
Torrey_Pines_vs_Elliott_Chaparral,RF_v1,0.8241
